1642045601,disk2,disk11,20480
1642045602,disk2,disk11,10240
1642045603,disk2,disk12,30720
1642045604,disk3,disk12,51200
1642045605,disk3,disk11,51200
1642045606,disk4,disk12,61440
1642045607,disk5,disk11,10240
1642045608,disk5,disk11,40960
1642045609,disk6,disk12,20480
1642045610,disk6,disk11,10240
1642045611,disk7,disk12,51200
1642045612,disk7,disk11,10240
1642045613,disk8,disk12,10240
1642045614,disk8,disk11,30720
1642045615,disk9,disk11,10240
1642045616,disk9,disk12,20480
1642045617,disk10,disk11,10240
1642045618,disk10,disk12,51200
1642045619,disk11,disk12,10240
1642045620,disk11,disk12,30720
1642045621,disk11,disk12,10240
1642045622,disk12,disk11,20480
1642045623,disk12,disk11,10240
1642045624,disk12,disk11,10240
1642045625,disk13,disk11,40960
1642045626,disk13,disk12,51200
1642045627,disk14,disk11,10240
1642045628,disk14,disk12,10240
1642045629,disk2,disk11,10240
1642045630,disk2,disk12,51200
1642045631,disk3,disk11,20480
1642045632,disk3,disk12,10240
1642045633,disk4,disk12,10240
1642045634,disk4,disk11,10240
1642045635,disk5,disk11,51200
1642045636,disk5,disk12,20480
1642045637,disk6,disk11,30720
1642045638,disk6,disk12,10240
1642045639,disk7,disk12,20480
1642045640,disk7,disk11,51200
1642045641,disk8,disk12,10240
1642045642,disk8,disk11,10240
1642045643,disk9,disk11,20480
1642045644,disk9,disk12,10240
1642045645,disk10,disk11,20480
1642045646,disk10,disk12,10240
1642045647,disk11,disk12,10240
1642045648,disk11,disk12,10240
1642045649,disk11,disk12,20480
